Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
AGESY,0.17,-0.6,-4.25,-6.49,25.15,0.41,,,15925.57,7525.43017,4.74,-0.06,-53.27601,0.09771,189.66999,-938.04999,-97.36001,,2.36,3.08,1.94,2458.39,-0.31,50,0,50,4769.27
AGII,0.42,-1.52,-5.39,-6.5,,0.81,,65.88,1258.4,311.5,47.28,-0.07,,0.47999,-60.292,-82.40001,-8.9,31.31,0.66,32.1,28.72,26.15,-3.58,33.33,0,66.67,750.88
AGIJ,,,,,,,,,,,,,,0,,,,,0.87,0,0.0002,138.07,,,,,0.03
AGM,0.37,0.4,3.37,9.28,3.15,,5.31,-7.79,227.3,729.02001,47.98,0.07,-13.93701,0.2,70.027,16.65999,71.76,0.25,1.32,23.45,21.29,10.36,4.01,,,,220.63
AGN,4.24,13.74,17.14,22.26,20.42,1.6,25.56,8.91,5419.1,1515.40002,17.48,0.17,0,0.2,1393.59997,934.5,1633.30004,13.96,0.82,95.43,93.31,304.71,3.65,34.78,4.35,60.87,28432.87
AGNC,0.06,1.8,16.39,16.6,5.77,3.18,5.72,142.32,1135.22,54.06,27.71,0.68,35.61199,5.59999,1160.33105,770.47998,1137.35998,5.95,0.47,31.17,29.89,299.99,5.23,23.53,0,76.47,8966.79
AGO,0.34,3.17,11.1,13.78,4.32,,4.58,60.03,1819.3,1038.30004,25.89,0.43,5.93699,0.18,622.65002,775.61999,1151.81994,15.14,2.39,18.98,14.75,182.58,3.22,66.67,0,33.33,2693.04
AGP,1.08,7.22,12.85,14.51,13.69,1.05,17.57,14.9,6318.39,400,26.85,0.03,,0,219.72099,195.61999,367.75,25.36,1.01,74.87,62.9,48.12,3.58,35.71,0,64.29,3026.43
AGPPY,1.21,,,,14.86,,,,6666.48,130.61,5,0.08,-46.516,0.13496,1130.57397,512.85998,1618.82995,,1.83,16.73,10.63,1580.03,,50,0,50,16795.75
AGU,2.08,11.68,19.07,25.66,6.95,1.02,8.68,25.84,15470,2098,40.73,0.09,16.478,0.28,1926.02001,1375,2491,21.19,1.57,92.56,84.76,157.82,9.77,25,0,75,13376.99
AGX,1.78,4.07,5.99,5.99,20,,38.52,3.66,182.59,0,7.06,,,0,10.99699,7.76999,18.05999,24.92,0.55,17.38,16.18,13.64,0.42,,,,220.63
AGYS,2.47,-5.46,-9.77,-9.84,,,,-14.13,675.47,1.46,5.83,,,0,-2.83501,-55.47001,-37.85,,2.34,9.83,8.68,21.89,-0.61,0,0,100,189.99
AH,2.66,9,14.64,14.64,50.08,1.63,68.25,,826.28,0,2.42,0.04,,0,37.47399,29.15999,56.38,,0.67,30.8,19.11,98.81,0.28,50,12.5,37.5,1888.3
AHAG,,,,,,,,,,,,,,0,,,,,1.26,0.04,0.0121,7.11,,,,,0.09
AHC,1.81,-0.6,-1.23,-1.23,2.73,,,-9.3,461.5,0,5.64,-0.02,,0.18,35.777,-10.93001,30.39999,,2.47,8.32,4.53,21.83,-0.13,0,0,100,98.89
AHEXY,,,,,18.63,,,,20635.9,1553.57995,,,17.76399,0.6165,450.45001,11.14999,260.77999,,0.36,35.56,24.1,378.53,,50,0,50,9122.5
AHGP,2.39,12.96,16.82,37.22,6.36,,11.15,14.34,1843.2,688.48999,10.46,0.12,21.461,2.275,374.47299,214.13999,568.19,23.77,0.75,54,39.81,59.86,3.57,66.67,0,33.33,2383.15
AHKSY,1.58,5.3,9.38,11.08,4.88,,4.36,,19835.98,1410.14001,12.92,,,0,1741.484,705.35998,2182.65991,,0.84,14.39,12.11,701.31,2.78,0,0,100,8492.84
AHL,0.59,-0.73,-1.89,-2.2,,0.66,,4.78,2114.1,499,44.93,-0.05,-3.2001,0.6,-38,-105.80001,-84.1,-18.79,0.7,28.59,27.69,70.9,-1.33,87.5,0,12.5,1963.22
AHMIQ,,,,,,,,,,,,,,0,,,,,0.36,0.05,0.022,54.28,,,,,1.19
AHNR,,,,,,,,,,,,,,0,,,,,0.29,0.61,0.27,32.39,,,,,8.74
AHONY,1.13,7.18,14.59,18.23,5.74,,12.12,-3.4,42161.44,2073.87011,7.53,0.03,21.006,0.34779,2547.41992,1437.35998,2887.26,,0.65,14.52,13.45,1059.81,1.11,100,0,0,14254.38
AHPI,4.99,0.17,0.2,0.2,16.67,,,-5.69,46.78,0,3.33,0,,0,1.564,0.2,1.7201,-49.13,0.79,4.32,3.21,8.12,0,,,,26.08
AHS,1.52,1.53,2.35,5.77,10.31,1.41,30.9,-10.81,887.47,174.19,3.35,-0.03,,0,23.023,-26.26001,54.04999,-51.46,1.55,8.94,5.87,40.6,0.19,60,0,40,238.29
AHT,0.14,1.36,1.7,5.31,3.01,0.22,4.63,-1.91,889.8,0,14.55,0,-17.223,0.4,196.80099,2.09999,284.73001,7.87,2.61,14.27,8.7,68.03,1.88,62.5,12.5,25,591.88
AI,1.11,5.02,21.18,22.77,4.99,,3.82,-51.43,33.37,15,23.92,0.45,-2.7782,3.375,34.546,15.17,8.35,,2.16,32.51,22.5,7.66,5.89,50,0,50,172.46
AICIQ,,,,,,,,,,,,,,0,,,,,-1.24,0.01,0.0005,14.22,,,,,0.01
AIFS,,,,,,,,,,,,,,0,,,,,-0.32,0.3,0.2,5.34,,,,,1.07
AIG,0.34,0.33,1.99,2.04,4.82,0.94,25.7,-10.59,59808,0,55.71,0.3,,0,12569,17798,12737,,3.44,34.08,31.87,1896.87,1.24,66.67,0,33.33,60453.13
AIM,1.7,-0.24,-0.43,-0.67,6.52,,,1.98,29.62,4.98,2.3,,,0,1.41499,0.62,2.60999,,1.22,3.48,2.46,3.77,-0.02,,,,9.27
AIMC,3.24,5.98,7.93,18.34,7.22,0.76,12.78,-1.73,674.81,263.35998,7.77,0.06,,0,66.441,37.66999,102.25,14.29,2.07,26.73,17.89,26.94,1.4,20,0,80,482.01
AIMM,,,,,,,,,,,,,,0,,,,,0.16,0.03,0.0036,17,,,,,0.06
AIN,2.97,4.01,6.07,11.39,6.42,1.46,13.76,-3.69,814.7,373.11999,13.33,0.04,3.26769,0.50999,110.05999,34.93,148.75,-4.4,1.84,27.9,22.56,31.3,1.64,33.33,0,66.67,706.13
AINV,1.37,5.92,6.15,10.28,165.26,1.7,7.88,3.23,358.78,1053.43994,8.16,,-16.952,1.03999,8.482,180.41,45.74,-13.7,1.78,11.93,7.17,197.04,0.91,41.67,0,58.33,1412.8
AIQ,1.29,-1.53,-1.94,,0.79,,,1.97,493.65,618.55999,-1.98,-0.32,,0,100.62799,-160.11001,-35.11001,-46.51,0.69,4.62,1.49,53.32,-0.23,100,0,0,79.44
AIQUY,,,,,9.8,1.57,,,19507.27,7543.52978,,0.11,7.98159,0.4686,3679.64208,2137.80004,2580.10009,,0.94,29.66,25.42,1419.55,,66.67,0,33.33,36084.96
AIR,1.9,3.96,5.7,8.64,4.1,0.41,9,10.49,1775.78,329.79,22.13,0.04,,0.075,157.81599,69.81999,223.08,0.88,1.23,31.42,16.29,40.28,1.81,33.33,0,66.67,656.21
AIRM,1.5,7.25,10.15,18.35,8.65,0.77,21.33,11.49,660.55,483.86999,22.66,0.07,,0,122.564,46.56999,170.24,21.69,1.51,91.83,83.42,12.6,3.91,0,0,100,1051.26
AIRO,,,,,,,,,,,,,,0,,,,,0.76,10,5,0.2,,,,,1
AIRT,4.04,5.83,7.44,7.44,9.56,,11.8,4.14,83.36,0,11.07,,0.9215,0.25,2.43099,2.13,3.9214,-8.57,0.61,9.71,9.56,2.45,0.81,,,,23.38
